,CNS,amnioserosa,epidermis,fat body,foregut,hindgut,midgut,muscle,oenocyte,plasmatocytes,proventriculus,salivary gland,sensory nervous system,tracheal system,ubiquitous,yolk nuclei
E16-18h_a_S06_4080x113680-slice5,6.110204e-16,6.886102e-16,0.5745526,1.5181666e-06,0.022975715,7.040478e-16,6.3548873e-06,2.384944e-16,6.194473e-11,1.0111446e-15,1.1400957e-08,1.6516275e-05,7.1023596e-16,8.511054e-16,0.40244734,6.48973e-16
E16-18h_a_S06_4080x113700-slice5,4.946876e-14,4.5772068e-14,0.5347802,0.040654592,4.892689e-05,3.582591e-14,9.016076e-05,1.4292263e-14,1.8313703e-09,7.085288e-14,1.6561644e-07,3.996369e-06,4.487375e-14,4.4964734e-14,0.42442188,4.9791204e-13
E16-18h_a_S06_4080x113720-slice5,7.3156115e-14,7.222967e-14,0.7735149,0.027778538,7.677694e-06,5.316351e-14,0.04773183,2.3388523e-14,8.1543185e-08,9.5543954e-14,6.3924915e-08,7.6060225e-09,7.095445e-14,6.8615225e-14,0.15096681,1.2333623e-12
E16-18h_a_S06_4080x113740-slice5,1.6659712e-14,1.7143757e-14,0.8457023,0.027538182,1.0114927e-06,1.460569e-14,0.04359314,4.543328e-15,5.1575166e-10,2.2885424e-14,9.013886e-07,1.6221128e-08,1.7816286e-14,1.7265108e-14,0.083164535,4.2699554e-13
E16-18h_a_S06_4080x113760-slice5,3.964473e-17,5.343214e-17,0.98840743,7.582003e-05,1.1380702e-09,8.539115e-17,0.00028443593,9.432165e-17,7.378198e-10,8.660626e-17,1.0483754e-09,6.25237e-09,6.506285e-17,7.08093e-17,0.011232288,1.1438205e-15
E16-18h_a_S06_4080x113780-slice5,2.1844317e-16,2.1360362e-16,0.374514,0.094533786,8.211659e-09,1.5679883e-16,2.6723532e-05,3.1293027e-17,2.6609506e-10,4.407559e-16,1.43809915e-08,7.821555e-09,2.1596493e-16,2.0640404e-16,0.53092545,9.900381e-15
E16-18h_a_S06_4080x113800-slice5,4.5000465e-17,4.1960245e-17,0.0027075477,0.3083749,3.6158983e-08,2.1757979e-17,0.00010371654,2.704189e-18,3.183368e-10,9.5523254e-17,1.6359829e-08,5.605753e-09,3.5464383e-17,3.2421026e-17,0.68881375,2.7910557e-15
E16-18h_a_S06_4080x113820-slice5,7.197326e-18,4.9784105e-18,0.0052472185,0.12026729,2.602415e-08,1.6141459e-18,0.3303705,1.2991361e-19,1.3746516e-09,1.0481638e-17,1.3868463e-07,1.2264054e-09,3.6791765e-18,2.7567535e-18,0.5441149,3.709963e-15
E16-18h_a_S06_4080x113840-slice5,9.763445e-17,6.706703e-17,0.02065865,3.2528464e-05,9.643813e-07,2.5436651e-17,0.5283568,6.419284e-18,2.2156149e-08,1.0927075e-16,4.9549318e-08,2.0090127e-07,4.9527075e-17,3.8045064e-17,0.45095068,1.7446388e-14
E16-18h_a_S06_4080x113860-slice5,5.4380706e-17,3.3850348e-17,0.013591911,1.1057723e-06,4.6608835e-07,1.0128537e-17,0.48474014,4.3945343e-18,1.2099672e-07,5.275043e-17,2.679607e-06,6.608963e-08,2.4656006e-17,1.7462665e-17,0.50166345,8.9894345e-15
E16-18h_a_S06_4080x113880-slice5,4.9111796e-19,3.1545722e-19,0.024729833,4.116843e-11,8.108147e-06,9.989206e-20,0.52674073,6.008699e-20,2.6634032e-07,4.5744763e-19,2.7207843e-09,1.4898406e-09,2.280994e-19,1.7490121e-19,0.44852108,1.9153767e-17
E16-18h_a_S06_4080x113900-slice5,5.5128144e-16,3.32332e-16,0.11421764,1.3834486e-05,8.305795e-06,8.648555e-17,0.28256494,1.6960708e-17,1.09064535e-08,5.2304703e-16,2.9764158e-06,1.0186527e-06,2.4022598e-16,1.7382147e-16,0.6031912,4.337292e-14
E16-18h_a_S06_4080x113920-slice5,8.3833855e-17,7.1245007e-17,0.20121217,1.1867888e-07,3.9802712e-06,3.734266e-17,0.07312003,1.7931972e-17,1.4190827e-09,1.094138e-16,5.093792e-08,5.5740736e-07,6.193464e-17,5.6495476e-17,0.725663,1.9090179e-15
E16-18h_a_S06_4080x113940-slice5,7.848936e-20,6.469475e-20,0.8597072,5.282757e-10,2.3710255e-08,3.6963202e-20,0.054631624,2.41565e-20,1.6871506e-10,9.287302e-20,6.980645e-08,7.375094e-09,5.889445e-20,4.7789433e-20,0.085661106,3.0623852e-18
E16-18h_a_S06_4080x113960-slice5,2.057644e-21,2.0629646e-21,0.9802911,8.51115e-09,1.5475038e-11,2.106584e-21,0.019705499,1.7403145e-21,1.2284128e-10,2.9990667e-21,2.0277655e-09,3.3104027e-07,2.1188344e-21,1.756602e-21,3.0755502e-06,3.4670053e-19
E16-18h_a_S06_4080x113980-slice5,1.9137112e-19,1.3444006e-19,0.86839956,3.442371e-06,2.7145297e-09,6.433107e-20,0.13145468,1.7805108e-20,6.843798e-10,1.941306e-19,6.8564555e-07,1.3825254e-08,1.1909503e-19,8.332557e-20,0.0001416259,4.57239e-17
E16-18h_a_S06_4080x114000-slice5,1.4213942e-16,1.1438141e-16,0.56548464,6.853547e-06,5.835139e-07,7.518591e-17,0.09863238,3.4751935e-17,5.287882e-09,1.6861262e-16,2.0786406e-06,1.7161874e-05,1.0463487e-16,8.701214e-17,0.33585632,9.83217e-15
E16-18h_a_S06_4080x114020-slice5,6.364984e-13,4.0926545e-13,0.6142597,0.006232243,0.101867944,1.3703943e-13,0.096129276,2.6279546e-14,1.7070018e-07,5.2905033e-13,4.452288e-06,1.2125998e-06,3.2781696e-13,2.634018e-13,0.18150495,4.822411e-12
E16-18h_a_S06_4080x114040-slice5,4.3086662e-14,3.7107687e-14,0.6113374,0.039005406,0.00031488013,2.377117e-14,0.12804262,6.4326007e-15,3.7011413e-10,5.210216e-14,6.227807e-08,1.9013477e-06,3.264502e-14,3.0934165e-14,0.22129767,9.765471e-13
E16-18h_a_S06_4080x114060-slice5,4.3548972e-14,3.8598956e-14,0.61986005,1.35119435e-05,1.6614697e-05,2.9057218e-14,0.089734204,1.7443336e-14,1.9921956e-07,4.975071e-14,4.0660417e-08,7.3713454e-05,3.5714138e-14,3.3145165e-14,0.29030162,1.1598589e-12
E16-18h_a_S06_4100x113680-slice5,1.9436068e-17,1.9356897e-17,0.30875638,1.3794707e-07,0.00016253603,1.3291259e-17,0.030464932,2.7904026e-18,9.93882e-13,3.0942147e-17,3.8574735e-09,0.026017077,1.7275919e-17,1.8637514e-17,0.634599,3.6310402e-16
E16-18h_a_S06_4100x113700-slice5,4.4927356e-15,4.5943156e-15,0.52736384,0.038829193,1.8038083e-06,4.0093123e-15,5.6966288e-05,1.4617918e-15,1.4971697e-09,7.781949e-15,1.1393241e-06,9.2902894e-08,4.8220616e-15,4.790526e-15,0.43374693,6.951365e-14
E16-18h_a_S06_4100x113720-slice5,1.5731231e-14,1.4947048e-14,0.605673,0.0072683636,3.4511325e-07,1.162267e-14,0.012811347,7.0707824e-15,3.8396262e-08,2.1893078e-14,4.8276206e-07,1.08384465e-05,1.4741919e-14,1.3859982e-14,0.37423557,8.632895e-13
