,x,y,z
E16-18h_a_S01_14720x106800-slice0,-21.038578680201795,-2.8324873096471492,0.0
E16-18h_a_S01_14720x106820-slice0,-21.038578680201795,-1.8324873096471492,0.0
E16-18h_a_S01_14720x106840-slice0,-21.038578680201795,-0.8324873096471492,0.0
E16-18h_a_S01_14720x106860-slice0,-21.038578680201795,0.16751269035285077,0.0
E16-18h_a_S01_14720x106880-slice0,-21.038578680201795,1.1675126903528508,0.0
E16-18h_a_S01_14720x106900-slice0,-21.038578680201795,2.1675126903528508,0.0
E16-18h_a_S01_14720x106920-slice0,-21.038578680201795,3.1675126903528508,0.0
E16-18h_a_S01_14720x106940-slice0,-21.038578680201795,4.167512690352851,0.0
E16-18h_a_S01_14720x106960-slice0,-21.038578680201795,5.167512690352851,0.0
E16-18h_a_S01_14720x106980-slice0,-21.038578680201795,6.167512690352851,0.0
E16-18h_a_S01_14720x107000-slice0,-21.038578680201795,7.167512690352851,0.0
E16-18h_a_S01_14720x107020-slice0,-21.038578680201795,8.16751269035285,0.0
E16-18h_a_S01_14720x107040-slice0,-21.038578680201795,9.16751269035285,0.0
E16-18h_a_S01_14740x106760-slice0,-20.038578680201795,-4.832487309647149,0.0
E16-18h_a_S01_14740x106780-slice0,-20.038578680201795,-3.8324873096471492,0.0
E16-18h_a_S01_14740x106800-slice0,-20.038578680201795,-2.8324873096471492,0.0
E16-18h_a_S01_14740x106820-slice0,-20.038578680201795,-1.8324873096471492,0.0
E16-18h_a_S01_14740x106840-slice0,-20.038578680201795,-0.8324873096471492,0.0
E16-18h_a_S01_14740x106860-slice0,-20.038578680201795,0.16751269035285077,0.0
E16-18h_a_S01_14740x106880-slice0,-20.038578680201795,1.1675126903528508,0.0
E16-18h_a_S01_14740x106900-slice0,-20.038578680201795,2.1675126903528508,0.0
E16-18h_a_S01_14740x106920-slice0,-20.038578680201795,3.1675126903528508,0.0
E16-18h_a_S01_14740x106940-slice0,-20.038578680201795,4.167512690352851,0.0
E16-18h_a_S01_14740x106960-slice0,-20.038578680201795,5.167512690352851,0.0
E16-18h_a_S01_14740x106980-slice0,-20.038578680201795,6.167512690352851,0.0
E16-18h_a_S01_14740x107000-slice0,-20.038578680201795,7.167512690352851,0.0
E16-18h_a_S01_14740x107020-slice0,-20.038578680201795,8.16751269035285,0.0
E16-18h_a_S01_14740x107040-slice0,-20.038578680201795,9.16751269035285,0.0
E16-18h_a_S01_14740x107060-slice0,-20.038578680201795,10.16751269035285,0.0
E16-18h_a_S01_14760x106760-slice0,-19.038578680201795,-4.832487309647149,0.0
E16-18h_a_S01_14760x106780-slice0,-19.038578680201795,-3.8324873096471492,0.0
E16-18h_a_S01_14760x106800-slice0,-19.038578680201795,-2.8324873096471492,0.0
E16-18h_a_S01_14760x106820-slice0,-19.038578680201795,-1.8324873096471492,0.0
E16-18h_a_S01_14760x106840-slice0,-19.038578680201795,-0.8324873096471492,0.0
E16-18h_a_S01_14760x106860-slice0,-19.038578680201795,0.16751269035285077,0.0
E16-18h_a_S01_14760x106880-slice0,-19.038578680201795,1.1675126903528508,0.0
E16-18h_a_S01_14760x106900-slice0,-19.038578680201795,2.1675126903528508,0.0
E16-18h_a_S01_14760x106920-slice0,-19.038578680201795,3.1675126903528508,0.0
E16-18h_a_S01_14760x106940-slice0,-19.038578680201795,4.167512690352851,0.0
E16-18h_a_S01_14760x106960-slice0,-19.038578680201795,5.167512690352851,0.0
