,CNS,amnioserosa,epidermis,fat body,foregut,hindgut,midgut,muscle,oenocyte,plasmatocytes,proventriculus,salivary gland,sensory nervous system,tracheal system,ubiquitous,yolk nuclei
E16-18h_a_S01_15060x106900-slice0,0.5696842,0.017314848,0.00043546065,0.097451165,0.00013625956,0.00043742039,0.07529901,1.405755e-08,8.955768e-05,6.0559454e-05,0.0016694511,0.08736428,0.019343114,0.0775381,2.159259e-06,0.053174365
E16-18h_a_S01_15060x106920-slice0,0.44434193,0.13702263,0.02100776,0.0060911397,4.865127e-05,5.442776e-06,0.07008743,2.5641145e-06,0.0006554265,0.00018050936,0.042688712,0.05639017,0.20420483,0.0005421138,0.00043990856,0.016290696
E16-18h_a_S01_15060x106940-slice0,0.790268,0.00011068103,0.00017079133,0.077203356,3.0575016e-08,6.28912e-06,0.0005000311,1.02460326e-07,0.00019073093,2.476332e-09,2.6164228e-06,0.021977313,0.0006450453,0.083210275,0.0010839069,0.024630839
E16-18h_a_S01_15060x106960-slice0,0.7517426,7.203931e-05,0.035580587,0.010467125,3.7927325e-08,2.9022805e-05,0.0003033314,0.00013821876,0.086425774,2.6705472e-06,2.714974e-07,0.015876308,9.250349e-05,0.099189535,6.0285975e-06,7.391638e-05
E16-18h_a_S01_15060x106980-slice0,0.6797336,4.95136e-06,0.12448951,8.257884e-06,6.8320327e-07,1.1618345e-06,1.0049609e-05,6.858164e-07,0.00080503634,0.00019113897,0.08032411,0.03188075,0.0001238506,0.00017051952,0.00018010278,0.08207558
E16-18h_a_S01_15060x107000-slice0,0.2932273,6.387648e-05,0.5246491,5.5283786e-06,5.2397144e-07,7.5494063e-07,3.3002705e-06,0.07009317,0.00018811095,0.07214305,3.977074e-05,0.015464463,3.1138723e-05,8.747341e-05,1.4414562e-07,0.02400238
E16-18h_a_S01_15060x107020-slice0,0.6223497,1.0668465e-06,0.3584587,4.532455e-05,9.65679e-06,2.9233474e-06,3.1541892e-06,0.00030481527,3.4912145e-07,0.01737253,5.5631655e-05,0.0010907904,7.245889e-05,4.5865247e-05,5.747608e-09,0.00018705786
E16-18h_a_S01_15060x107040-slice0,0.5175157,0.1446394,0.25319472,4.6532207e-07,3.8633048e-06,6.26382e-05,0.07653875,0.00032344036,2.910018e-05,2.8984241e-05,2.3074372e-06,0.007602517,2.7567792e-05,1.8259747e-05,7.984109e-06,4.277786e-06
E16-18h_a_S01_15060x107060-slice0,0.43377772,0.00013179284,0.33920938,1.778344e-08,8.229918e-07,0.0007916195,0.14400537,0.004296682,2.0489209e-07,8.4586844e-08,1.841405e-06,0.077702194,1.2235811e-05,1.9776118e-07,1.2336252e-06,6.8520814e-05
E16-18h_a_S01_15060x107080-slice0,0.21075335,7.5043325e-05,0.2690492,1.0314808e-06,0.00023473227,0.00043365426,0.0008871021,7.6432254e-05,2.0977637e-07,0.0002641087,9.878418e-07,0.011222093,0.4919257,0.0016735037,3.2340744e-05,0.013370476
E16-18h_a_S01_15060x107100-slice0,0.2954486,1.6189306e-05,0.23894462,0.09679366,9.056193e-06,0.043920252,0.0518376,0.0002076338,4.3503915e-06,0.077979006,0.00970758,0.0054622036,0.0005878196,0.06865026,2.0887546e-06,0.110429086
E16-18h_a_S01_15080x106620-slice0,1.5987816e-06,2.799363e-06,0.109149925,0.11213572,4.7641756e-06,0.22639787,0.20133154,0.16328171,0.00010276008,0.11573286,0.0063261483,0.0057031983,0.00012417516,0.0011155979,0.000101011094,0.05848837
E16-18h_a_S01_15080x106640-slice0,6.899158e-07,7.527198e-06,0.058419563,0.31023398,6.598326e-07,0.10705815,0.20588963,0.10891576,0.05066098,9.884615e-05,0.00041986522,0.019677162,0.000103465565,0.08417943,8.2129793e-07,0.054333482
